mod_id,timestamp,subscribers
3596640733,2025-11-22 13:33:24,8059
3597297032,2025-11-22 13:33:25,5860
3599597476,2025-11-22 13:33:27,2835
3596640733,2025-11-22 13:41:00,8059
3597297032,2025-11-22 13:41:00,5859
3599597476,2025-11-22 13:41:00,2836
3596640733,2025-11-22 14:08:20,8061
3597297032,2025-11-22 14:08:20,5861
3599597476,2025-11-22 14:08:20,2841
3596640733,2025-11-22 14:12:19,8062
3597297032,2025-11-22 14:12:19,5861
3599597476,2025-11-22 14:12:19,2845
3596640733,2025-11-22 14:21:32,8066
3597297032,2025-11-22 14:21:32,5863
3599597476,2025-11-22 14:21:32,2847
3596640733,2025-11-22 14:45:49,8068
3597297032,2025-11-22 14:45:49,5864
3599597476,2025-11-22 14:45:49,2851
3596640733,2025-11-22 14:55:28,8069
3597297032,2025-11-22 14:55:28,5867
3599597476,2025-11-22 14:55:28,2854
3596640733,2025-11-22 15:13:21,8073
3597297032,2025-11-22 15:13:21,5870
3599597476,2025-11-22 15:13:21,2856
3596640733,2025-11-22 15:29:14,8076
3597297032,2025-11-22 15:29:14,5870
3599597476,2025-11-22 15:29:14,2858
3596640733,2025-11-22 15:38:30,8078
3597297032,2025-11-22 15:38:30,5871
3599597476,2025-11-22 15:38:30,2861
3596640733,2025-11-22 15:46:47,8079
3597297032,2025-11-22 15:46:47,5871
3599597476,2025-11-22 15:46:47,2861
3596640733,2025-11-22 15:54:57,8081
3597297032,2025-11-22 15:54:57,5871
3599597476,2025-11-22 15:54:57,2863
3596640733,2025-11-22 16:17:49,8084
3597297032,2025-11-22 16:17:49,5874
3599597476,2025-11-22 16:17:49,2866
3596640733,2025-11-22 16:52:55,8085
3597297032,2025-11-22 16:52:55,5877
3599597476,2025-11-22 16:52:55,2872
3596640733,2025-11-22 17:18:24,8089
3597297032,2025-11-22 17:18:24,5879
3599597476,2025-11-22 17:18:24,2878
3596640733,2025-11-22 17:38:04,8092
3597297032,2025-11-22 17:38:04,5881
3599597476,2025-11-22 17:38:04,2880
3596640733,2025-11-22 17:50:33,8094
3597297032,2025-11-22 17:50:33,5881
